Task;Start;End;Group
Literaturrecherche;01.10.2024;31.01.2025;Literaturrecherche
Datenerhebung Kabis;20.10.2024;31.05.2025;Datenerhebung
Datenerhebung Karotten;20.10.2024;30.06.2025;Datenerhebung
Datenerhebung Salat;01.05.2025;30.06.2025;Datenerhebung
Datenerhebung Broccoli;01.05.2025;30.06.2025;Datenerhebung
Datenerhebung Zwiebeln;05.06.2025;20.08.2025;Datenerhebung
Daten auswerten;01.02.2025;31.08.2025;Auswertung
RothC Modell;01.04.2025;15.09.2025;Modellieren
Modellresultate auswerten;01.09.2025;31.10.2025;Auswertung
Thesis abschliessen;31.05.2025;30.04.2026;Schreiben
Paper schreiben;20.02.2026;31.05.2026;Schreiben
